car_brand,no_year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),max_power(BHP),torque(Nm),torque_lower(rpm),torque_upper(rpm),seats
Maruti,7,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,14,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,112.7,4500.0,4500.0,5.0
Maruti,14,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,76.44,4500.0,4500.0,5.0
Maruti,20,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,16,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78.0,4500.0,4500.0,5.0
Maruti,12,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,14,200000,80000,Petrol,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,12,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,84.0,3500.0,3500.0,5.0
Maruti,5,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200.0,1750.0,1750.0,7.0
Maruti,19,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,6,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,9,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,200.0,1750.0,1750.0,5.0
Maruti,5,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,4000.0,4000.0,5.0
Maruti,4,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,12,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,84.0,3500.0,3500.0,5.0
Maruti,3,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,2500.0,2500.0,8.0
Maruti,4,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,9,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,59.78,3000.0,3000.0,5.0
Maruti,4,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,2,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,60.0,3500.0,3500.0,4.0
Maruti,2,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,9,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,3,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,115.0,4000.0,4000.0,5.0
Maruti,3,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,3,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,3,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,138.0,4400.0,4400.0,5.0
Maruti,6,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
